City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,malkapur,20.8833,76.2,83.62,77,100,15.7,IN,1690433618
1,ust'-ilimsk,58.0006,102.6619,82.04,42,59,4.16,RU,1690433618
2,adamstown,-25.066,-130.1015,67.1,60,28,8.66,PN,1690433618
3,salym,60.0625,71.4789,72.7,60,33,6.64,RU,1690433618
4,rongelap,11.1635,166.8941,83.39,76,100,17.74,MH,1690433618
5,grytviken,-54.2811,-36.5092,33.76,99,100,12.71,GS,1690433619
6,port-aux-francais,-49.35,70.2167,40.3,79,83,34.23,TF,1690433619
7,broken hill,-31.95,141.4333,68.65,31,31,17.63,AU,1690433619
8,wailua homesteads,22.0669,-159.378,82.83,80,0,13.8,US,1690433619
9,keflavik,64.0049,-22.5624,46.83,93,0,5.75,IS,1690433471
10,guamal,9.1433,-74.2238,75.16,94,98,2.75,CO,1690433527
11,noshiro,40.2039,140.0242,86.83,74,20,8.32,JP,1690433620
12,kachug,53.9606,105.8817,77.36,43,99,9.06,RU,1690433620
13,duluth,46.7833,-92.1066,69.06,87,75,6.91,US,1690433615
14,port lincoln,-34.7333,135.8667,63.73,65,97,17.2,AU,1690433621
15,port mathurin,-19.6833,63.4167,74.41,80,32,17.05,MU,1690433621
16,ugoofaaru,5.6667,73.0,82.72,70,100,2.13,MV,1690433621
17,college,64.8569,-147.8028,84.58,57,75,0.0,US,1690433621
18,longyearbyen,78.2186,15.6401,51.64,76,40,3.44,SJ,1690433621
19,port alfred,-33.5906,26.891,59.76,86,55,19.57,ZA,1690433551
20,edinburgh of the seven seas,-37.0676,-12.3116,51.28,55,71,20.96,SH,1690433622
21,avarua,-21.2078,-159.775,69.85,83,20,3.44,CK,1690433622
22,kalengwa,-13.4659,25.0027,49.68,73,0,5.08,ZM,1690433622
23,bethel,41.3712,-73.414,76.5,77,0,9.22,US,1690433622
24,stanley,54.868,-1.6985,57.27,92,100,2.3,GB,1690433622
25,sao gabriel da cachoeira,-0.1303,-67.0892,72.68,95,85,1.25,BR,1690433598
26,santa catalina,9.3337,122.8637,87.78,76,97,13.51,PH,1690433623
27,ushuaia,-54.8,-68.3,31.66,69,75,5.75,AR,1690433611
28,fortuna,40.5982,-124.1573,57.97,94,0,8.05,US,1690433623
29,bredasdorp,-34.5322,20.0403,47.32,90,0,4.61,ZA,1690433623
30,lihue,21.9789,-159.3672,83.44,74,0,13.8,US,1690433559
31,bubaque,11.2833,-15.8333,81.54,81,100,11.97,GW,1690433623
32,waitangi,-43.9535,-176.5597,44.82,54,91,16.37,NZ,1690433623
33,gonabad,34.3529,58.6837,89.67,25,0,0.0,IR,1690433624
34,agat village,13.3886,144.6585,85.14,79,0,13.8,GU,1690433624
35,ramadi,33.4226,43.3058,101.89,11,0,2.06,IQ,1690433624
36,hawaiian paradise park,19.5933,-154.9731,76.03,97,100,0.0,US,1690433624
37,sitka,57.0531,-135.33,60.69,82,100,0.0,US,1690433512
38,fale old settlement,-9.3852,-171.2468,83.43,72,59,16.98,TK,1690433400
39,revda,56.801,59.9303,70.95,62,31,6.67,RU,1690433625
40,ribeira grande,38.5167,-28.7,72.77,96,62,5.99,PT,1690433625
41,tiksi,71.6872,128.8694,45.59,73,54,5.7,RU,1690433625
42,dellys,36.9172,3.9131,76.98,67,0,14.54,DZ,1690433625
43,iqaluit,63.7506,-68.5145,44.33,87,75,2.3,CA,1690433625
44,sisimiut,66.9395,-53.6735,40.15,93,57,8.3,GL,1690433625
45,hauterive,46.0901,3.4459,57.96,89,17,4.25,FR,1690433626
46,kyshtovka,56.555,76.6271,75.24,56,36,3.69,RU,1690433626
47,tura,25.5198,90.2201,84.7,73,99,7.23,IN,1690433626
48,luwuk,-0.9516,122.7875,84.49,68,77,8.84,ID,1690433626
49,puerto natales,-51.7236,-72.4875,28.08,94,100,2.73,CL,1690433626
50,isafjordur,66.0755,-23.124,44.04,88,96,11.59,IS,1690433626
51,petropavlovsk-kamchatsky,53.0452,158.6483,68.59,64,40,15.66,RU,1690433627
52,alice springs,-23.7,133.8833,72.95,53,100,16.11,AU,1690433627
53,lucena,13.9314,121.6172,88.09,66,100,7.34,PH,1690433627
54,turaif,31.6725,38.6637,79.05,24,0,4.61,SA,1690433627
55,new norfolk,-42.7826,147.0587,55.92,47,100,5.01,AU,1690433627
56,mweka,-4.85,21.5667,66.47,50,22,1.48,CD,1690433627
57,olonkinbyen,70.9221,-8.7187,40.42,89,100,9.82,SJ,1690433628
58,punta arenas,-53.15,-70.9167,30.2,82,21,8.34,CL,1690433534
59,papatowai,-46.5619,169.4708,43.83,83,100,18.95,NZ,1690433628
60,port elizabeth,-33.918,25.5701,57.49,82,0,14.97,ZA,1690433528
61,puerto baquerizo moreno,-0.9,-89.6,74.95,81,94,13.4,EC,1690433628
62,thompson,55.7435,-97.8558,53.76,100,100,4.61,CA,1690433628
63,constantia,44.1833,28.65,68.7,87,99,15.3,RO,1690433628
64,invercargill,-46.4,168.35,45.27,75,99,13.89,NZ,1690433629
65,rosswein,51.0667,13.1833,57.18,95,31,9.24,DE,1690433629
66,nova sintra,14.8667,-24.7167,73.33,85,77,15.52,CV,1690433566
67,nanao,37.05,136.9667,95.29,59,1,4.41,JP,1690433629
68,tadine,-21.55,167.8833,69.44,58,60,16.49,NC,1690433629
69,blackmans bay,-43.0167,147.3167,54.73,72,100,5.08,AU,1690433629
70,watseka,40.7762,-87.7364,78.98,91,11,1.99,US,1690433630
71,nar'yan-mar,67.6713,53.087,69.4,58,89,5.48,RU,1690433589
72,brookings,44.3114,-96.7984,82.4,77,0,11.5,US,1690433630
73,badger,64.8,-147.5333,84.51,58,0,0.0,US,1690433630
74,tocopilla,-22.092,-70.1979,62.38,74,47,4.99,CL,1690433630
75,riberalta,-10.9833,-66.1,72.45,57,22,2.3,BO,1690433630
76,minas de marcona,-15.2119,-75.1103,53.65,88,43,10.51,PE,1690433630
77,georgetown,5.4112,100.3354,89.53,79,20,8.05,MY,1690433631
78,kruisfontein,-34.0033,24.7314,49.23,87,43,6.76,ZA,1690433631
79,uniara,26.15,75.2167,86.58,68,100,6.98,IN,1690433631
80,tongouson,5.0214,120.1328,83.46,80,83,20.13,PH,1690433631
81,laguna,38.421,-121.4238,79.54,54,0,8.05,US,1690433631
82,tindouf,27.6711,-8.1474,73.85,33,0,19.57,DZ,1690433622
83,margaret river,-33.95,115.0667,56.53,69,99,13.15,AU,1690433632
84,al hufuf,25.3646,49.5653,91.74,33,73,0.0,SA,1690433632
85,weno,7.4515,151.8468,82.76,76,47,8.63,FM,1690433632
86,spring creek,40.7266,-115.5859,77.31,19,74,3.85,US,1690433632
87,as sulayyil,20.4607,45.5779,89.85,10,63,9.22,SA,1690433632
88,kulhudhuffushi,6.6221,73.07,83.07,69,99,5.37,MV,1690433632
89,smithers,54.7804,-127.1743,61.12,59,40,6.91,CA,1690433633
90,buckeye,33.3703,-112.5838,108.37,29,0,14.97,US,1690433597
91,east london,-33.0153,27.9116,59.94,77,0,10.36,ZA,1690433487
92,jamestown,42.097,-79.2353,74.79,95,40,8.05,US,1690433585
93,puerto ayora,-0.7393,-90.3518,76.55,93,86,5.99,EC,1690433633
94,crucecita,-28.95,-58.9833,48.81,86,87,5.68,AR,1690433633
95,aasiaat,68.7098,-52.8699,36.97,95,28,9.78,GL,1690433634
96,pirawa,24.1551,76.0273,87.42,67,100,9.86,IN,1690433634
97,le grazie di ancona,43.6008,13.5153,68.58,74,24,2.3,IT,1690433634
98,kailua-kona,19.6406,-155.9956,82.36,84,100,9.22,US,1690433500
99,al fqih ben calah,32.5009,-6.6906,67.1,66,0,7.29,MA,1690433634
100,usogorsk,63.4106,48.6872,67.86,56,100,8.41,RU,1690433634
101,sarykemer,43.0,71.5,89.08,15,1,8.7,KZ,1690433634
102,west island,-12.1568,96.8225,78.78,73,75,24.16,CC,1690433535
103,san carlos de bariloche,-41.1456,-71.3082,36.25,87,100,4.61,AR,1690433425
104,bilibino,68.0546,166.4372,52.41,69,100,3.11,RU,1690433635
105,walvis bay,-22.9575,14.5053,53.1,93,100,10.36,NA,1690433635
